2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 10:19:52; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 10:22:32; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:22:32; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:22:32; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] open display notiy bios bitlocker status
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 10:22:32; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 10:22:32; INFO; Loopback Stream; 12252; 26568] CallLibrary Start
2024-07-05 10:22:32; INFO; Loopback Stream; 12252; 26568] CallLibrary End
2024-07-05 10:23:02; INFO; Loopback Stream; 12252; 9828] CallLibrary Start
2024-07-05 10:23:02; INFO; Loopback Stream; 12252; 9828] CallLibrary End
2024-07-05 10:23:32; INFO; Loopback Stream; 12252; 22688] CallLibrary Start
2024-07-05 10:23:32; INFO; Loopback Stream; 12252; 22688] CallLibrary End
2024-07-05 10:24:03; INFO; Loopback Stream; 12252; 25816] CallLibrary Start
2024-07-05 10:24:03; INFO; Loopback Stream; 12252; 25816] CallLibrary End
2024-07-05 10:24:33; INFO; Loopback Stream; 12252; 21156] CallLibrary Start
2024-07-05 10:24:33; INFO; Loopback Stream; 12252; 21156] CallLibrary End
2024-07-05 10:25:03; INFO; Loopback Stream; 12252; 2792] CallLibrary Start
2024-07-05 10:25:03; INFO; Loopback Stream; 12252; 2792] CallLibrary End
2024-07-05 10:25:24; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:25:24; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:25:24; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display is dimmed
2024-07-05 10:25:33; INFO; Loopback Stream; 12252; 6064] CallLibrary Start
2024-07-05 10:25:33; INFO; Loopback Stream; 12252; 6064] CallLibrary End
2024-07-05 10:25:40; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:25:40; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:25:40; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display Off
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] close display, notify bios bitlocker status
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 10:25:40; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 10:42:56; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-05 10:42:56; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-05 10:42:56; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:7
2024-07-05 11:38:35; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 11:38:35; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 11:38:35; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] open display notiy bios bitlocker status
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 11:38:35; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:38:41; INFO; Loopback Stream; 12252; 21884] CallLibrary Start
2024-07-05 11:38:41; INFO; Loopback Stream; 12252; 21884] CallLibrary End
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 11:38:41; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 11:39:08; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-05 11:39:08; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-05 11:39:08; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:8
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] SessionChange-Login notify bitlocker status
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 11:39:08; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
